Application	Config	Hot Access Rate	Average IPC
barnes	no_cache_no-dtm_no-remap	0.0	0.975609756098
barnes	cache_dram83_no-remap	0.0	0.721254355401
barnes	cache_cpu105_no-remap	0.169151470252	1.0
barnes	cache_cpu105_remap0	0.0	0.993031358885
barnes	cache_cpu105_remap1l	0.0	0.993031358885
barnes	cache_cpu105_remap1g	0.0	0.993031358885
barnes	cache_no-dtm_no-remap	0.169615245726	1.0
cholesky	no_cache_no-dtm_no-remap	0.0	0.774336283186
cholesky	cache_dram83_no-remap	0.0	0.575221238938
cholesky	cache_cpu105_no-remap	0.0273460128268	0.87610619469
cholesky	cache_cpu105_remap0	0.0	0.865044247788
cholesky	cache_cpu105_remap1l	0.0	0.867256637168
cholesky	cache_cpu105_remap1g	0.0	0.867256637168
cholesky	cache_no-dtm_no-remap	0.0355568144935	1.0
fft	no_cache_no-dtm_no-remap	0.0	0.745173745174
fft	cache_dram83_no-remap	0.0	0.486486486486
fft	cache_cpu105_no-remap	0.122903347512	0.84555984556
fft	cache_cpu105_remap0	0.0	0.795366795367
fft	cache_cpu105_remap1l	0.0	0.799227799228
fft	cache_cpu105_remap1g	0.0	0.818532818533
fft	cache_no-dtm_no-remap	0.163608395953	1.0
fmm	no_cache_no-dtm_no-remap	0.0	0.897854954035
fmm	cache_dram83_no-remap	0.0011798152645	0.572012257406
fmm	cache_cpu105_no-remap	0.16807174791	0.821246169561
fmm	cache_cpu105_remap0	0.0	0.808988764045
fmm	cache_cpu105_remap1l	0.0	0.805924412666
fmm	cache_cpu105_remap1g	0.0	0.804902962206
fmm	cache_no-dtm_no-remap	0.279376040263	1.0
lu.cont	no_cache_no-dtm_no-remap	0.0	0.852739726027
lu.cont	cache_dram83_no-remap	0.0	0.498858447489
lu.cont	cache_cpu105_no-remap	0.209900472019	0.841324200913
lu.cont	cache_cpu105_remap0	0.0	0.794520547945
lu.cont	cache_cpu105_remap1l	0.0	0.812785388128
lu.cont	cache_cpu105_remap1g	0.0	0.835616438356
lu.cont	cache_no-dtm_no-remap	0.274075106102	1.0
lu.ncont	no_cache_no-dtm_no-remap	0.0	0.801801801802
lu.ncont	cache_dram83_no-remap	0.0	0.468468468468
lu.ncont	cache_cpu105_no-remap	0.198070026489	0.854568854569
lu.ncont	cache_cpu105_remap0	0.0	0.808236808237
lu.ncont	cache_cpu105_remap1l	0.0	0.812097812098
lu.ncont	cache_cpu105_remap1g	0.0	0.81981981982
lu.ncont	cache_no-dtm_no-remap	0.246253582622	1.0
radix	no_cache_no-dtm_no-remap	0.0	0.95
radix	cache_dram83_no-remap	0.0	1.0
radix	cache_cpu105_no-remap	0.00108617471397	1.0
radix	cache_cpu105_remap0	0.0	1.0
radix	cache_cpu105_remap1l	0.0	1.0
radix	cache_cpu105_remap1g	0.0	1.0
radix	cache_no-dtm_no-remap	0.00104881076634	1.0
raytrace	no_cache_no-dtm_no-remap	0.0	0.881690140845
raytrace	cache_dram83_no-remap	0.0	0.698591549296
raytrace	cache_cpu105_no-remap	0.113820719869	0.991549295775
raytrace	cache_cpu105_remap0	0.0	0.957746478873
raytrace	cache_cpu105_remap1l	0.0	0.969014084507
raytrace	cache_cpu105_remap1g	0.0	0.969014084507
raytrace	cache_no-dtm_no-remap	0.111801200124	1.0
water.nsq	no_cache_no-dtm_no-remap	0.0	0.97503900156
water.nsq	cache_dram83_no-remap	0.0	0.630265210608
water.nsq	cache_cpu105_no-remap	0.126246489785	0.84399375975
water.nsq	cache_cpu105_remap0	0.0	0.842433697348
water.nsq	cache_cpu105_remap1l	0.0	0.842433697348
water.nsq	cache_cpu105_remap1g	0.0	0.842433697348
water.nsq	cache_no-dtm_no-remap	0.173617605703	1.0
water.sp	no_cache_no-dtm_no-remap	0.0	0.893371757925
water.sp	cache_dram83_no-remap	0.0	0.628242074928
water.sp	cache_cpu105_no-remap	0.126632647812	0.853025936599
water.sp	cache_cpu105_remap0	0.0	0.840057636888
water.sp	cache_cpu105_remap1l	0.0	0.834293948127
water.sp	cache_cpu105_remap1g	0.0	0.837175792507
water.sp	cache_no-dtm_no-remap	0.18409181568	1.0
